trade_date,close_price,position,action
2023-08-23,181.119995,LONG,HOLD
2023-08-24,176.380005,FLAT,SELL
2023-08-25,178.610001,LONG,BUY
2023-08-28,180.190002,FLAT,SELL
2023-08-29,184.119995,LONG,BUY
2023-08-30,187.649994,FLAT,SELL
2023-08-31,187.869995,LONG,BUY
2023-09-01,189.460007,LONG,HOLD
2023-09-05,189.699997,FLAT,SELL
2023-09-06,182.910004,FLAT,HOLD
2023-10-06,177.490005,LONG,BUY
2023-10-09,178.990005,LONG,HOLD
2023-10-10,178.389999,LONG,HOLD
2023-10-11,179.800003,FLAT,SELL
2023-10-12,180.710007,FLAT,HOLD
2023-10-13,178.850006,LONG,BUY
2023-10-16,178.720001,LONG,HOLD
2023-10-17,177.149994,FLAT,SELL
2023-10-18,175.839996,LONG,BUY
2023-10-19,175.460007,FLAT,SELL
2023-11-02,177.570007,FLAT,HOLD
2023-11-03,176.649994,LONG,BUY
2023-11-06,179.229996,FLAT,SELL
2023-11-07,181.820007,FLAT,HOLD
2023-11-08,182.889999,LONG,BUY
2023-11-09,182.410004,FLAT,SELL
2023-11-10,186.399994,LONG,BUY
2023-11-13,184.800003,LONG,HOLD
2023-11-14,187.440002,LONG,HOLD
2023-11-15,188.009995,FLAT,SELL
2023-11-16,189.710007,FLAT,HOLD
2023-11-17,189.690002,LONG,BUY
2023-11-20,191.449997,FLAT,SELL
2023-11-21,190.639999,LONG,BUY
2023-11-22,191.309998,LONG,HOLD
2023-11-24,189.970001,FLAT,SELL
2023-11-27,189.789993,LONG,BUY
2023-11-28,190.399994,LONG,HOLD
2023-12-05,193.419998,FLAT,SELL
2023-12-06,192.320007,FLAT,HOLD
2023-12-07,194.270004,LONG,BUY
2023-12-08,195.710007,FLAT,SELL
2023-12-11,193.179993,FLAT,HOLD
2023-12-12,194.710007,FLAT,HOLD
2023-12-13,197.960007,FLAT,HOLD
2023-12-14,198.110001,LONG,BUY
2023-12-15,197.570007,FLAT,SELL
2023-12-18,195.889999,LONG,BUY
2023-12-19,196.940002,LONG,HOLD
2023-12-20,194.830002,LONG,HOLD
2024-01-11,185.589996,LONG,HOLD
2024-01-12,185.919998,FLAT,SELL
2024-01-16,183.630005,LONG,BUY
2024-01-18,188.630005,FLAT,SELL
2024-01-19,191.559998,LONG,BUY
2024-01-22,193.889999,FLAT,SELL
2024-01-23,195.179993,LONG,BUY
2024-01-24,194.5,LONG,HOLD
2024-01-25,194.169998,FLAT,SELL
2024-01-26,192.419998,FLAT,HOLD
2024-01-29,191.729996,FLAT,HOLD
2024-01-30,188.039993,LONG,BUY
2024-03-14,173.0,FLAT,SELL
2024-03-15,172.619995,LONG,BUY
2024-03-18,173.720001,FLAT,SELL
2024-03-19,176.080002,FLAT,HOLD
2024-03-20,178.669998,FLAT,HOLD
2024-03-21,171.369995,LONG,BUY
2024-04-11,175.039993,FLAT,SELL
2024-04-12,176.550003,LONG,BUY
2024-04-15,172.690002,LONG,HOLD
2024-04-16,169.380005,FLAT,SELL
2024-04-29,173.5,FLAT,HOLD
2024-04-30,170.330002,LONG,BUY
2024-05-01,169.300003,FLAT,SELL
2024-05-02,173.029999,FLAT,HOLD
2024-05-03,183.380005,LONG,BUY
2024-05-06,181.710007,FLAT,SELL
2024-05-07,182.399994,FLAT,HOLD
2024-05-08,182.740005,LONG,BUY
2024-05-09,184.570007,FLAT,SELL
2024-05-10,183.050003,LONG,BUY
2024-05-13,186.279999,FLAT,SELL
2024-05-14,187.429993,LONG,BUY
2024-05-15,189.720001,FLAT,SELL
2024-05-16,189.839996,FLAT,HOLD
2024-05-17,189.869995,LONG,BUY
2024-05-20,191.039993,LONG,HOLD
2024-05-21,192.350006,FLAT,SELL
2024-05-22,190.899994,LONG,BUY
2024-05-23,186.880005,FLAT,SELL
2024-05-24,189.979996,LONG,BUY
2024-05-28,189.990005,LONG,HOLD
2024-05-29,190.289993,FLAT,SELL
2024-05-30,191.289993,FLAT,HOLD
2024-05-31,192.25,FLAT,HOLD
2024-06-03,194.029999,LONG,BUY
2024-06-04,194.350006,FLAT,SELL
2024-06-05,195.869995,LONG,BUY
2024-06-06,194.479996,FLAT,SELL
2024-06-07,196.889999,LONG,BUY
2024-06-11,207.149994,LONG,HOLD
2024-06-12,213.070007,LONG,HOLD
2024-06-13,214.240005,LONG,HOLD
2024-06-14,212.490005,FLAT,SELL
2024-06-17,216.669998,FLAT,HOLD
2024-06-18,214.289993,LONG,BUY
2024-06-20,209.679993,FLAT,SELL
2024-06-21,207.490005,LONG,BUY
2024-06-24,208.139999,LONG,HOLD
2024-06-25,209.070007,LONG,HOLD
2024-06-26,213.25,FLAT,SELL
2024-06-27,214.100006,FLAT,HOLD
2024-06-28,210.619995,LONG,BUY
2024-07-01,216.75,FLAT,SELL
2024-07-02,220.270004,LONG,BUY
2024-07-03,221.550003,FLAT,SELL
2024-07-05,226.339996,FLAT,HOLD
2024-07-08,227.820007,FLAT,HOLD
2024-07-09,228.679993,LONG,BUY
2024-07-10,232.979996,FLAT,SELL
2024-07-11,227.570007,LONG,BUY
2024-07-12,230.539993,LONG,HOLD
2024-07-15,234.399994,LONG,HOLD
2024-07-16,234.820007,LONG,HOLD
2024-07-17,228.880005,FLAT,SELL
2024-08-12,217.529999,LONG,BUY
2024-08-13,221.270004,FLAT,SELL
2024-08-14,221.720001,LONG,BUY
2024-08-15,224.720001,LONG,HOLD
2024-08-16,226.050003,FLAT,SELL
2024-08-19,225.889999,FLAT,HOLD
2024-08-20,226.509995,LONG,BUY
2024-08-21,226.399994,FLAT,SELL
2024-08-22,224.529999,LONG,BUY
2024-08-23,226.839996,FLAT,SELL
2024-08-26,227.179993,LONG,BUY
2024-08-27,228.029999,FLAT,SELL
2024-08-28,226.490005,LONG,BUY
2024-08-29,229.789993,FLAT,SELL
2024-08-30,229.0,FLAT,HOLD
2024-09-19,228.869995,FLAT,HOLD
2024-09-20,228.199997,LONG,BUY
2024-09-23,226.470001,FLAT,SELL
2024-09-24,227.369995,LONG,BUY
2024-09-25,226.369995,FLAT,SELL
2024-09-26,227.520004,LONG,BUY
2024-09-27,227.789993,FLAT,SELL
2024-09-30,233.0,LONG,BUY
2024-10-01,226.210007,FLAT,SELL
2024-10-02,226.779999,LONG,BUY
2024-10-03,225.669998,LONG,HOLD
2024-10-04,226.800003,FLAT,SELL
2024-10-07,221.690002,FLAT,HOLD
2024-10-08,225.770004,FLAT,HOLD
2024-10-09,229.539993,FLAT,HOLD
2024-10-10,229.039993,FLAT,HOLD
2024-10-11,227.550003,FLAT,HOLD
2024-10-14,231.300003,LONG,BUY
2024-10-15,233.850006,FLAT,SELL
2024-10-16,231.779999,FLAT,HOLD
2024-10-17,232.149994,FLAT,HOLD
2024-10-18,235.0,LONG,BUY
2024-10-21,236.479996,FLAT,SELL
2024-10-22,235.860001,LONG,BUY
2024-10-23,230.759995,LONG,HOLD
2024-10-24,230.570007,LONG,HOLD
2024-10-25,231.410004,FLAT,SELL
2024-10-28,233.399994,LONG,BUY
2024-10-29,233.669998,FLAT,SELL
2024-10-30,230.100006,LONG,BUY
2024-11-18,228.020004,LONG,HOLD
2024-11-19,228.279999,FLAT,SELL
2024-11-20,229.0,LONG,BUY
2024-11-21,228.520004,LONG,HOLD
2024-11-22,229.869995,FLAT,SELL
2024-11-25,232.869995,FLAT,HOLD
2024-11-26,235.059998,LONG,BUY
2024-11-27,234.929993,LONG,HOLD
2024-11-29,237.330002,LONG,HOLD
2024-12-02,239.589996,LONG,HOLD
2024-12-03,242.649994,FLAT,SELL
2024-12-04,243.009995,LONG,BUY
2024-12-05,243.039993,LONG,HOLD
2024-12-06,242.839996,FLAT,SELL
2024-12-09,246.75,FLAT,HOLD
2024-12-10,247.770004,LONG,BUY
2024-12-11,246.490005,LONG,HOLD
2024-12-12,247.960007,LONG,HOLD
2024-12-13,248.130005,FLAT,SELL
2024-12-16,251.039993,FLAT,HOLD
2024-12-17,253.479996,LONG,BUY
2024-12-20,254.490005,LONG,HOLD
2024-12-23,255.270004,FLAT,SELL
2024-12-24,258.200012,LONG,BUY
2024-12-26,259.019989,LONG,HOLD
2024-12-27,255.589996,LONG,HOLD
2024-12-30,252.199997,LONG,HOLD
2025-01-27,229.860001,FLAT,SELL
2025-01-28,238.259995,LONG,BUY
2025-01-29,239.360001,FLAT,SELL
2025-01-30,237.589996,LONG,BUY
2025-01-31,236.0,FLAT,SELL
2025-02-03,228.009995,LONG,BUY
2025-02-04,232.800003,LONG,HOLD
2025-02-05,232.470001,LONG,HOLD
2025-02-06,233.220001,LONG,HOLD
2025-02-14,244.600006,FLAT,SELL
2025-02-18,244.470001,LONG,BUY
2025-02-19,244.869995,FLAT,SELL
2025-02-20,245.830002,FLAT,HOLD
2025-02-21,245.550003,LONG,BUY
2025-02-24,247.100006,LONG,HOLD
2025-02-25,247.039993,LONG,HOLD
2025-02-26,240.360001,LONG,HOLD
2025-02-27,237.300003,LONG,HOLD
2025-03-24,220.729996,LONG,HOLD
2025-03-25,223.75,LONG,HOLD
2025-03-26,221.529999,LONG,HOLD
2025-03-27,223.850006,FLAT,SELL
2025-03-28,217.899994,LONG,BUY
2025-03-31,222.130005,LONG,HOLD
2025-04-01,223.190002,FLAT,SELL
2025-04-02,223.889999,FLAT,HOLD
2025-04-14,202.520004,LONG,BUY
2025-04-15,202.139999,FLAT,SELL
2025-04-16,194.270004,FLAT,HOLD
2025-04-17,196.979996,LONG,BUY
2025-04-21,193.160004,FLAT,SELL
2025-04-22,199.740005,LONG,BUY
2025-04-23,204.600006,FLAT,SELL
2025-04-24,208.369995,FLAT,HOLD
2025-04-25,209.279999,LONG,BUY
2025-04-28,210.139999,FLAT,SELL
2025-04-29,211.210007,LONG,BUY
2025-04-30,212.5,LONG,HOLD
2025-05-01,213.320007,LONG,HOLD
2025-05-02,205.350006,LONG,HOLD
2025-05-05,198.889999,FLAT,SELL
2025-05-06,198.509995,FLAT,HOLD
2025-05-07,196.25,FLAT,HOLD
2025-05-08,197.490005,FLAT,HOLD
2025-05-09,198.529999,LONG,BUY
2025-05-12,210.789993,FLAT,SELL
2025-05-13,212.929993,LONG,BUY
2025-05-14,212.330002,FLAT,SELL
2025-05-15,211.449997,LONG,BUY
2025-05-16,211.259995,FLAT,SELL
2025-05-19,208.779999,FLAT,HOLD
2025-05-20,206.860001,LONG,BUY
2025-05-21,202.089996,LONG,HOLD
2025-06-24,200.300003,LONG,HOLD
2025-06-25,201.559998,LONG,HOLD
2025-06-26,201.0,LONG,HOLD
2025-06-27,201.080002,LONG,HOLD
2025-06-30,205.169998,FLAT,SELL
2025-07-01,207.820007,FLAT,HOLD
2025-07-02,212.440002,LONG,BUY
2025-07-03,213.550003,FLAT,SELL
2025-07-07,209.949997,FLAT,HOLD
2025-07-08,210.009995,FLAT,HOLD
2025-07-09,211.139999,FLAT,HOLD
2025-07-10,212.410004,LONG,BUY
2025-07-11,211.160004,FLAT,SELL
2025-07-21,212.479996,FLAT,HOLD
2025-07-22,214.399994,FLAT,HOLD
2025-07-23,214.149994,LONG,BUY
2025-07-24,213.759995,LONG,HOLD
2025-07-25,213.880005,FLAT,SELL
2025-07-28,214.050003,LONG,BUY
2025-07-29,211.270004,FLAT,SELL
2025-08-06,213.25,LONG,BUY
2025-08-07,220.029999,LONG,HOLD
2025-08-08,229.350006,LONG,HOLD
2025-08-11,227.179993,FLAT,SELL
2025-08-12,229.649994,FLAT,HOLD
2025-08-13,233.330002,FLAT,HOLD
2025-08-14,232.779999,FLAT,HOLD
2025-08-15,231.589996,FLAT,HOLD
2025-08-18,230.889999,FLAT,HOLD
2025-08-19,230.559998,FLAT,HOLD
2025-08-20,226.009995,LONG,BUY
2025-08-21,224.899994,FLAT,SELL
2025-08-22,227.759995,LONG,BUY
2025-08-25,227.160004,LONG,HOLD
2025-08-26,229.309998,LONG,HOLD
2025-08-27,230.490005,LONG,HOLD
2025-08-28,232.559998,LONG,HOLD
2025-08-29,232.139999,LONG,HOLD
2025-09-02,229.720001,FLAT,SELL
2025-09-03,238.470001,LONG,BUY
2025-09-04,239.779999,LONG,HOLD
2025-09-05,239.690002,FLAT,SELL
2025-09-08,237.880005,FLAT,HOLD
2025-09-09,234.350006,LONG,BUY
2025-09-16,238.149994,LONG,HOLD
2025-09-17,238.990005,LONG,HOLD
2025-09-18,237.880005,FLAT,SELL
2025-09-19,245.5,LONG,BUY
2025-09-22,256.079987,FLAT,SELL
